Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,30.104364,30.265656,29.810247,29.990513,24.867903,27242300
2016-01-07,29.563568,30.180265,29.544592,29.791271,24.702692,39223100
2016-01-08,29.933586,30.009487,29.335863,29.411764,24.388004,34840300
2016-01-11,29.554079,29.601519,29.070210,29.478178,24.443077,40717900
2016-01-12,29.772297,29.886148,29.146111,29.411764,24.388004,40927000
2016-01-13,29.497154,29.677420,28.719166,28.814041,23.892382,42762900
2016-01-14,28.833017,29.810247,28.833017,29.516129,24.474548,40603000
2016-01-15,28.671726,29.240986,28.652752,29.231499,24.238533,49299300
2016-01-19,29.525618,29.629980,28.776091,29.117647,24.144129,34508300
2016-01-20,28.662239,29.478178,28.519924,29.089184,24.120523,52142200
2016-01-21,29.041746,29.316889,28.946869,29.013283,24.057592,38528500
2016-01-22,29.411764,29.648956,29.098671,29.136621,24.159866,33142400
2016-01-25,29.250475,29.326376,28.861481,28.937382,23.994652,30313300
2016-01-26,28.965845,29.174574,28.785580,29.098671,24.128393,27360800
2016-01-27,29.136621,29.421253,28.766603,28.956356,24.010389,30059100
2016-01-28,29.127134,29.136621,28.074003,28.652752,23.758638,51419900
2016-01-29,28.823530,28.927895,28.387096,28.927895,23.986788,59794300
2016-02-01,28.785580,28.842505,28.282732,28.624289,23.735041,50036900
2016-02-02,28.624289,28.785580,28.036053,28.595825,23.711439,50815600
2016-02-03,28.377609,28.529411,27.647058,28.149904,23.576351,47403300
2016-02-04,27.979128,28.074003,27.267551,27.514231,23.043957,60009100
2016-02-05,27.533207,27.912714,27.362429,27.542694,23.067799,41033900
2016-02-08,27.210627,27.495256,26.802656,27.096775,22.694323,50082400
2016-02-09,27.011385,27.703985,26.888046,27.609108,23.123419,60214800
2016-02-10,27.827324,28.368122,27.808350,27.979128,23.433325,47121400
2016-02-11,27.523720,27.836813,27.409866,27.637571,23.147257,41780800
2016-02-12,27.751423,27.874763,27.495256,27.855787,23.330023,34300500
2016-02-16,28.036053,28.311195,27.941177,28.282732,23.687597,34329300
2016-02-17,28.462997,28.529411,28.074003,28.111954,23.544569,41224300
2016-02-18,28.292219,28.500948,27.950665,28.036053,23.480999,50789000
2016-02-19,28.083492,28.130930,27.685009,27.979128,23.433325,41870000
2016-02-22,28.225807,28.529411,28.130930,28.510437,23.878307,41458500
2016-02-23,28.519924,28.823530,28.415560,28.425047,23.806789,33697100
2016-02-24,28.282732,28.538900,28.007589,28.481974,23.854471,33322200
2016-02-25,28.557875,29.117647,28.481974,29.022770,24.307404,54850300
2016-02-26,29.203035,29.316889,28.481974,28.681215,24.021341,45244000
2016-02-29,28.548388,28.633776,28.055029,28.149904,23.576351,37091800
2016-03-01,28.263758,28.548388,28.102467,28.500948,23.870356,33114300
2016-03-02,28.567362,28.614801,28.225807,28.444023,23.822685,36139800
2016-03-03,28.349146,28.462997,28.064516,28.358633,23.751169,38882000
2016-03-04,28.320683,28.406073,28.017078,28.187857,23.608137,38827900
2016-03-07,28.036053,28.282732,27.817837,28.263758,23.671705,33934900
2016-03-08,28.225807,28.225807,27.855787,27.855787,23.330023,34566900
2016-03-09,28.197344,28.320683,27.912714,28.216318,23.631975,81054600
2016-03-10,28.368122,28.387096,28.017078,28.074003,23.512781,61264200
2016-03-11,28.254269,28.937382,28.206831,28.937382,24.235888,63638500
2016-03-14,28.719166,28.785580,28.415560,28.557875,23.918041,49289600
2016-03-15,28.349146,28.396584,27.798861,28.026566,23.473051,57622400
2016-03-16,28.007589,28.007589,27.390892,27.552181,23.075743,96151600
2016-03-17,27.628084,28.064516,27.267551,27.836813,23.314129,70483500
2016-03-18,27.988615,28.130930,27.675522,27.941177,23.401535,86327800
2016-03-21,27.941177,28.576851,27.931688,28.529411,23.894197,37124300
2016-03-22,28.491461,28.994307,28.358633,28.823530,24.140532,42880700
2016-03-23,28.870968,29.041746,28.557875,28.643263,23.989553,42985700
2016-03-24,28.576851,28.728653,28.349146,28.538900,23.902145,33669700
2016-03-28,28.548388,28.671726,28.216318,28.254269,23.663759,32850500
2016-03-29,28.292219,28.643263,28.187857,28.510437,23.878307,36464400
2016-03-30,28.605312,28.662239,28.472486,28.529411,23.894197,33824500
2016-03-31,28.519924,28.624289,27.998102,28.121443,23.552515,59861700
2016-04-01,27.931688,28.624289,27.903225,28.500948,23.870356,50975300
2016-04-04,28.548388,29.174574,28.519924,29.146111,24.410702,54762600
2016-04-05,29.611006,30.123341,29.013283,29.753321,24.919262,299829400
2016-04-06,29.924099,31.309298,29.914612,31.242884,26.166807,158517400
2016-04-07,30.882353,31.385199,30.834915,31.081594,26.031725,64692400
2016-04-08,31.148008,31.214420,30.626186,30.834915,25.825123,55598000
2016-04-11,30.853889,30.901329,30.237192,30.256166,25.340405,87735800
2016-04-12,30.265656,30.493359,30.170778,30.322580,25.396029,45179000
