Date,ARE,AMT,AIV,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,UDR,VTR,VNO,WELL,WY
2016-01-04,77.07,87.65,3.34,152.97,107.12,34.09,71.08,63.95,17.59,268.63,57.66,203.95,73.25,122.36,26.68,12.32,18.90,19.63,74.98,36.18,203.91,41.30,56.19,104.79,31.00,43.69,63.77,53.37,24.70
2016-01-05,78.13,89.38,3.43,156.49,109.76,34.39,72.54,64.02,17.83,275.28,58.82,206.29,75.40,123.78,27.25,12.51,19.25,20.25,75.92,36.94,209.67,42.19,57.29,106.16,31.39,44.46,64.61,54.69,24.76
2016-01-06,77.60,89.06,3.39,155.32,109.74,32.91,71.93,64.62,17.57,280.47,58.26,204.58,76.03,124.54,26.16,12.25,19.10,20.07,75.52,36.74,210.00,42.44,57.62,105.19,31.16,44.05,64.30,54.57,24.21
2016-01-07,75.04,86.84,3.37,154.61,107.79,31.07,70.14,64.44,17.08,275.17,58.08,202.56,75.22,122.50,25.46,11.83,18.47,19.56,75.66,35.78,207.81,41.71,57.09,101.65,30.81,43.28,63.67,53.01,23.32
2016-01-08,74.01,85.41,3.31,151.87,104.77,30.72,69.16,64.65,16.72,281.07,56.88,200.82,74.99,122.70,25.39,11.80,18.05,19.23,75.17,35.46,206.30,41.29,56.59,100.71,30.40,43.32,62.30,53.13,23.10
2016-01-11,73.08,85.64,3.33,152.81,105.81,30.09,69.67,65.96,16.85,283.87,57.58,202.55,75.74,123.52,25.79,11.99,18.25,19.53,75.42,35.42,208.33,42.18,56.93,102.92,30.75,43.57,61.99,53.49,22.86
2016-01-12,72.25,85.64,3.30,151.94,104.37,30.33,69.98,65.53,16.63,285.72,57.69,201.77,75.49,123.67,25.71,11.65,17.87,19.45,75.19,35.13,208.75,42.31,56.64,99.90,30.43,43.03,61.08,53.08,22.38
2016-01-13,70.30,83.53,3.24,149.82,102.40,29.09,68.91,65.15,16.43,277.25,57.14,200.91,74.69,124.00,25.26,10.94,17.65,19.22,75.05,34.97,208.06,41.83,56.10,96.82,30.40,41.99,60.21,51.95,22.15
2016-01-14,70.06,83.58,3.19,149.12,103.39,29.47,69.89,65.76,16.38,282.15,56.70,198.38,72.75,124.21,25.09,11.20,17.69,19.28,75.12,34.23,208.38,42.16,55.92,98.57,29.94,42.07,59.96,51.80,21.87
2016-01-15,69.33,80.12,3.19,148.72,102.16,28.94,65.86,64.05,16.35,275.08,56.71,197.79,71.76,123.94,25.29,10.70,17.50,19.37,75.93,33.51,207.40,42.11,56.32,91.11,30.22,42.11,58.86,51.75,21.38
2016-01-19,69.51,82.40,3.22,150.96,102.92,28.56,66.18,63.03,16.35,267.75,57.14,199.67,73.82,125.30,25.51,10.42,17.49,19.60,76.54,33.71,208.97,42.77,57.73,89.98,30.28,42.83,59.06,52.88,21.09
2016-01-20,66.12,80.67,3.12,145.18,99.92,28.01,65.11,60.96,15.87,267.07,55.14,192.92,70.77,122.91,24.40,10.43,17.30,19.33,75.11,32.30,200.50,41.85,57.11,87.75,29.45,40.75,57.30,50.34,20.37
2016-01-21,66.09,81.59,3.12,144.99,100.08,28.35,65.87,60.84,15.94,262.91,55.17,189.93,70.66,123.08,24.86,10.97,17.52,19.82,75.08,32.58,201.15,42.38,56.91,86.69,29.37,41.58,57.57,51.09,20.70
