Date,Adj_Close,Close,High,Low,Open,Volume
1/4/16,24.40,26.34,26.34,25.50,25.65,270597600.00
1/5/16,23.79,25.68,26.46,25.60,26.44,223164000.00
1/6/16,23.32,25.17,25.59,24.97,25.14,273829600.00
1/7/16,22.34,24.11,25.03,24.11,24.67,324377600.00
1/8/16,22.46,24.24,24.78,24.19,24.64,283192000.00
1/11/16,22.82,24.63,24.76,24.33,24.74,198957600.00
1/12/16,23.15,24.99,25.17,24.71,25.14,196616800.00
1/13/16,22.56,24.35,25.30,24.33,25.08,249758400.00
1/14/16,23.05,24.88,25.12,23.93,24.49,252680400.00
1/15/16,22.50,24.28,24.43,23.84,24.05,319335600.00
1/19/16,22.39,24.17,24.66,23.88,24.60,212350800.00
1/20/16,22.42,24.20,24.55,23.35,23.77,289337600.00
1/21/16,22.30,24.08,24.47,23.74,24.26,208646000.00
1/22/16,23.49,25.35,25.36,24.59,24.66,263202000.00
1/25/16,23.03,24.86,25.38,24.80,25.38,207178000.00
1/26/16,23.16,25.00,25.22,24.52,24.98,300308000.00
1/27/16,21.64,23.35,24.16,23.33,24.01,533478800.00
1/28/16,21.79,23.52,23.63,23.10,23.45,222715200.00
1/29/16,22.55,24.33,24.33,23.59,23.70,257666000.00
2/1/16,22.33,24.11,24.18,23.85,24.12,163774000.00
2/2/16,21.88,23.62,24.01,23.57,23.85,149428800.00
2/3/16,22.32,24.09,24.21,23.52,23.75,183857200.00
2/4/16,22.50,24.15,24.33,23.80,23.97,185886800.00
2/5/16,21.89,23.50,24.23,23.42,24.13,185672400.00
2/8/16,22.13,23.75,23.92,23.26,23.28,216085600.00
2/9/16,22.12,23.75,23.99,23.48,23.57,177324800.00
2/10/16,21.95,23.57,24.09,23.52,23.98,169374400.00
2/11/16,21.82,23.42,23.68,23.15,23.45,200298800.00
2/12/16,21.89,23.50,23.63,23.25,23.55,161405600.00
2/16/16,22.51,24.16,24.21,23.65,23.75,196231600.00
2/17/16,22.85,24.53,24.55,24.04,24.17,179452800.00
2/18/16,22.42,24.07,24.72,24.02,24.71,156084000.00
2/19/16,22.37,24.01,24.19,23.95,24.00,141496800.00
2/22/16,22.56,24.22,24.23,23.98,24.08,137123200.00
2/23/16,22.05,23.67,24.13,23.64,24.10,127770400.00
2/24/16,22.38,24.02,24.09,23.33,23.50,145022800.00
2/25/16,22.53,24.19,24.19,23.81,24.01,110330800.00
2/26/16,22.57,24.23,24.50,24.15,24.30,115964400.00
2/29/16,22.52,24.17,24.56,24.16,24.22,140865200.00
3/1/16,23.41,25.13,25.19,24.35,24.41,201628400.00
3/2/16,23.46,25.19,25.22,24.91,25.13,132678400.00
3/3/16,23.64,25.38,25.43,25.11,25.15,147822800.00
3/4/16,23.99,25.75,25.94,25.34,25.59,184220400.00
